,accuracy,precision,recall,f1,roc_auc
MultinomialNB,0.9330056906363166,0.9299745782297204,0.9492804906817646,0.9395283679663787,0.9726522772232025
LogisticRegression,0.9906880496637351,0.9878248653711075,0.9952819061099316,0.991539365452409,0.9995925528136447
LinearSVC,0.9924987066735644,0.9926938486919632,0.9936305732484076,0.9931619900966753,0.9996263210207021
